id,code,qualification,alevel_subjects,reason,job,sector,enjoy,prior_programming,conf_maths,conf_programming,conf_python,career_clarity,postgrad,comments
22,034678,A-levels,Maths;Physics;Chemistry;,Genuine interest in AI/ML,"Product, project management or consulting",Startups / small companies,Building practical things that work (including code),"A little (tutorials, school projects)",3,2,3,5,No,Can we do our own projects if approved instead of the set of options given.
23,094386,A-levels,Maths;Computer Science;Biology;,It was my insurance/clearing choice,"Research or further study (MSc, PhD)",Games / creative industries,Building practical things that work (including code),Moderate (personal projects),5,4,4,3,Yes,
24,694206,A-levels,Maths;Physics;Computer Science;,Job prospects and salary,"Product, project management or consulting",Startups / small companies,Building practical things that work (including code),Moderate (personal projects),3,4,4,5,Maybe,"timetable goated, uni laptop goated, course pretty goated"
25,,Access course / foundation year,,"Recommended by family, teachers or friends",Something outside tech,Startups / small companies,Building practical things that work (including code),,3,3,3,4,No,"I would like the module to discuss the potential dangers and risks of artificial intelligence, especially as AI becomes more powerful. I think this is particularly important given that leading AI CEOs and researchers have publicly warned about the potential risks of advanced AI systems."
26,640415,A-levels,Maths;Computer Science;Economics;,Genuine interest in AI/ML,Data science / data analysis,Big tech,Building practical things that work (including code),Moderate (personal projects),3,2,3,4,Yes,
27,000422,"International qualifications (IB, Baccalaureate, other)",,It was my insurance/clearing choice,Not sure yet,Startups / small companies,Working with people and coordinating,"A little (tutorials, school projects)",4,3,2,2,Maybe,
28,574295,A-levels,Maths;Economics;Geography;,It was my insurance/clearing choice,Software or ML engineering,Finance,Building practical things that work (including code),"A little (tutorials, school projects)",4,3,4,4,Maybe,
29,482398,A-levels,Maths;Physics;Computer Science;Further Maths;,I enjoyed programming before university,Software or ML engineering,Not sure,Building practical things that work (including code),"A little (tutorials, school projects)",2,2,3,2,Yes,
30,527184,A-levels,Maths;Chemistry;Psychology;,"The university or city, more than the course",Not sure yet,Not sure,Understanding why something works (theory),"A little (tutorials, school projects)",4,2,2,1,Maybe,
32,352846,A-levels,Maths;Physics;Chemistry;,Genuine interest in AI/ML,Not sure yet,Big tech,Understanding why something works (theory),"A little (tutorials, school projects)",5,4,5,2,Maybe,"While I'm leaning towards big tech in terms of my career, I'd also be interested in exploring startups and other sectors like government and finance."
33,693125,A-levels,Maths;Further Maths;Computer Science;Business Studies;,Job prospects and salary,Software or ML engineering,Games / creative industries,Building practical things that work (including code),Moderate (personal projects),4,4,4,2,Maybe,
34,090427,A-levels,Physics;Maths;Business Studies;,Genuine interest in AI/ML,Software or ML engineering,Finance,Building practical things that work (including code),"A little (tutorials, school projects)",4,3,3,4,Yes,"So far, I think the course covers a good foundation in machine learning and AI. I’d really like to see more practical, industry-focused content alongside the theory, especially areas such as PyTorch, LLMs and transformers, RAG, AI agents, SQL/data engineering, APIs, Docker, cloud deployment and MLOps. It would also be useful to have more hands-on projects where we build and deploy complete AI systems rather than only train models.

My career goal is to move into roles such as AI Engineer or Machine Learning Engineer, so having more exposure to the tools and workflows used in industry, along with portfolio-based projects, would make the module even more valuable for employability."
35,1995,A-levels,Maths;Further Maths;English (Language or Literature);Other(s);,I enjoyed maths before university,Something outside tech,Games / creative industries,Understanding why something works (theory),"A little (tutorials, school projects)",4,3,3,2,Maybe,"no comments on the course... in terms of career plans i'd like to work in music or theatre, theres good internships at sony uta and umg but i think i'd like to work in touring, CAA offer a internships and stater positions in music touring but i'd like to do more work as a playback engineer"
36,121008,A-levels,Maths;Physics;Computer Science;,Job prospects and salary,Data science / data analysis,Finance,Building practical things that work (including code),"A little (tutorials, school projects)",3,3,4,2,Maybe,
37,462849,A-levels,Maths;Computer Science;Psychology;Other(s);,Job prospects and salary,Software or ML engineering,Startups / small companies,Understanding why something works (theory),Moderate (personal projects),3,3,4,4,Maybe,
39,031106,A-levels,Maths;Computer Science;Economics;,Job prospects and salary,Software or ML engineering,Big tech,Building practical things that work (including code),Moderate (personal projects),3,4,4,3,No,
40,112233,A-levels,Maths;Computer Science;Economics;,It was my insurance/clearing choice,Software or ML engineering,Startups / small companies,Building practical things that work (including code),"A little (tutorials, school projects)",3,3,3,4,No,
